,Unnamed: 0,Month,violations,borough
0,0,2024-12-01,374,Queens
1,1,2025-01-01,421,Queens
2,2,2025-02-01,353,Queens
3,3,2025-03-01,429,Queens
4,4,2025-04-01,401,Queens
5,5,2025-05-01,323,Queens
6,6,2025-06-01,469,Queens
7,7,2025-07-01,341,Queens
8,8,2025-08-01,344,Queens
9,9,2025-09-01,481,Queens
10,10,2025-10-01,415,Queens
11,11,2025-11-01,47,Queens
12,12,2024-12-01,768,Brooklyn
13,13,2025-01-01,779,Brooklyn
14,14,2025-02-01,605,Brooklyn
15,15,2025-03-01,769,Brooklyn
16,16,2025-04-01,684,Brooklyn
17,17,2025-05-01,797,Brooklyn
18,18,2025-06-01,676,Brooklyn
19,19,2025-07-01,715,Brooklyn
20,20,2025-08-01,801,Brooklyn
21,21,2025-09-01,794,Brooklyn
22,22,2025-10-01,447,Brooklyn
23,23,2025-11-01,31,Brooklyn
24,24,2024-12-01,781,Brooklyn
25,25,2025-01-01,761,Brooklyn
26,26,2025-02-01,628,Brooklyn
27,27,2025-03-01,643,Brooklyn
28,28,2025-04-01,600,Brooklyn
29,29,2025-05-01,607,Brooklyn
30,30,2025-06-01,518,Brooklyn
31,31,2025-07-01,572,Brooklyn
32,32,2025-08-01,446,Brooklyn
33,33,2025-09-01,446,Brooklyn
34,34,2025-10-01,293,Brooklyn
35,35,2025-11-01,26,Brooklyn
36,36,2024-12-01,858,Brooklyn
37,37,2025-01-01,1000,Brooklyn
38,38,2025-02-01,646,Brooklyn
39,39,2025-03-01,670,Brooklyn
40,40,2025-04-01,674,Brooklyn
41,41,2025-05-01,786,Brooklyn
42,42,2025-06-01,662,Brooklyn
43,43,2025-07-01,728,Brooklyn
44,44,2025-08-01,532,Brooklyn
45,45,2025-09-01,610,Brooklyn
46,46,2025-10-01,278,Brooklyn
47,47,2025-11-01,4,Brooklyn
48,48,2024-12-01,718,Brooklyn
49,49,2025-01-01,690,Brooklyn
50,50,2025-02-01,559,Brooklyn
51,51,2025-03-01,764,Brooklyn
52,52,2025-04-01,619,Brooklyn
53,53,2025-05-01,630,Brooklyn
54,54,2025-06-01,480,Brooklyn
55,55,2025-07-01,449,Brooklyn
56,56,2025-08-01,478,Brooklyn
57,57,2025-09-01,542,Brooklyn
58,58,2025-10-01,364,Brooklyn
59,59,2025-11-01,33,Brooklyn
60,60,2024-12-01,843,Brooklyn
61,61,2025-01-01,835,Brooklyn
62,62,2025-02-01,588,Brooklyn
63,63,2025-03-01,795,Brooklyn
64,64,2025-04-01,719,Brooklyn
65,65,2025-05-01,778,Brooklyn
66,66,2025-06-01,631,Brooklyn
67,67,2025-07-01,659,Brooklyn
68,68,2025-08-01,563,Brooklyn
69,69,2025-09-01,661,Brooklyn
70,70,2025-10-01,513,Brooklyn
71,71,2025-11-01,22,Brooklyn
72,72,2024-11-01,41,Brooklyn
73,73,2024-12-01,2655,Brooklyn
74,74,2025-01-01,3017,Brooklyn
75,75,2025-02-01,2473,Brooklyn
76,76,2025-03-01,3019,Brooklyn
77,77,2025-04-01,2913,Brooklyn
78,78,2025-05-01,2842,Brooklyn
79,79,2025-06-01,2542,Brooklyn
80,80,2025-07-01,2565,Brooklyn
81,81,2025-08-01,2321,Brooklyn
82,82,2025-09-01,2561,Brooklyn
83,83,2025-10-01,1934,Brooklyn
84,84,2025-11-01,135,Brooklyn
85,85,2024-11-01,2,Queens
86,86,2024-12-01,1622,Queens
87,87,2025-01-01,1695,Queens
88,88,2025-02-01,1357,Queens
89,89,2025-03-01,1767,Queens
90,90,2025-04-01,1585,Queens
91,91,2025-05-01,1513,Queens
92,92,2025-06-01,1392,Queens
93,93,2025-07-01,960,Queens
94,94,2025-08-01,787,Queens
95,95,2025-09-01,430,Queens
96,96,2025-10-01,428,Queens
97,97,2025-11-01,17,Queens
98,98,2024-11-01,4,Brooklyn
99,99,2024-12-01,7666,Brooklyn
100,100,2025-01-01,6122,Brooklyn
101,101,2025-02-01,4738,Brooklyn
102,102,2025-03-01,6072,Brooklyn
103,103,2025-04-01,4920,Brooklyn
104,104,2025-05-01,5102,Brooklyn
