,hour,weekday,0
0,0,Friday,3581
1,0,Monday,3181
2,0,Saturday,4818
3,0,Sunday,5468
4,0,Thursday,3405
5,0,Tuesday,3181
6,0,Wednesday,3462
7,1,Friday,2168
8,1,Monday,2070
9,1,Saturday,2925
10,1,Sunday,3301
11,1,Thursday,2201
12,1,Tuesday,2075
13,1,Wednesday,2043
14,2,Friday,1229
15,2,Monday,1258
16,2,Saturday,1572
17,2,Sunday,1942
18,2,Thursday,1112
19,2,Tuesday,1156
20,2,Wednesday,1195
21,3,Friday,1028
22,3,Monday,1129
23,3,Saturday,1247
24,3,Sunday,1489
25,3,Thursday,1088
26,3,Tuesday,1067
27,3,Wednesday,1133
28,4,Friday,1793
29,4,Monday,1985
30,4,Saturday,1523
31,4,Sunday,1552
32,4,Thursday,1741
33,4,Tuesday,1727
34,4,Wednesday,1747
35,5,Friday,3973
36,5,Monday,4073
37,5,Saturday,2344
38,5,Sunday,2199
39,5,Thursday,4064
40,5,Tuesday,4126
41,5,Wednesday,4010
42,6,Friday,9763
43,6,Monday,9415
44,6,Saturday,3855
45,6,Sunday,3279
46,6,Thursday,9806
47,6,Tuesday,9894
48,6,Wednesday,9619
49,7,Friday,17979
50,7,Monday,16993
51,7,Saturday,6453
52,7,Sunday,5128
53,7,Thursday,17491
54,7,Tuesday,17754
55,7,Wednesday,17019
56,8,Friday,21339
57,8,Monday,18755
58,8,Saturday,8140
59,8,Sunday,6423
60,8,Thursday,21091
61,8,Tuesday,20088
62,8,Wednesday,19830
63,9,Friday,27178
64,9,Monday,24165
65,9,Saturday,11321
66,9,Sunday,8774
67,9,Thursday,26496
68,9,Tuesday,25670
69,9,Wednesday,25059
70,10,Friday,27823
71,10,Monday,24476
72,10,Saturday,14619
73,10,Sunday,11693
74,10,Thursday,27789
75,10,Tuesday,27538
76,10,Wednesday,27355
77,11,Friday,29109
78,11,Monday,26476
79,11,Saturday,17583
80,11,Sunday,15775
81,11,Thursday,29564
82,11,Tuesday,29854
83,11,Wednesday,28987
84,12,Friday,29411
85,12,Monday,28330
86,12,Saturday,19850
87,12,Sunday,18931
88,12,Thursday,31650
89,12,Tuesday,31831
90,12,Wednesday,30049
91,13,Friday,30991
92,13,Monday,28845
93,13,Saturday,21604
94,13,Sunday,20974
95,13,Thursday,31875
96,13,Tuesday,32282
97,13,Wednesday,31861
98,14,Friday,28994
99,14,Monday,29203
100,14,Saturday,22079
101,14,Sunday,21097
102,14,Thursday,30775
103,14,Tuesday,31387
104,14,Wednesday,31001
105,15,Friday,25802
106,15,Monday,26405
107,15,Saturday,22181
108,15,Sunday,20739
109,15,Thursday,27875
110,15,Tuesday,27933
111,15,Wednesday,27150
112,16,Friday,27512
113,16,Monday,25673
114,16,Saturday,22001
115,16,Sunday,19377
116,16,Thursday,27496
117,16,Tuesday,27472
118,16,Wednesday,26336
119,17,Friday,25824
120,17,Monday,22531
121,17,Saturday,20795
122,17,Sunday,17301
123,17,Thursday,23772
124,17,Tuesday,24622
125,17,Wednesday,23164
126,18,Friday,26478
127,18,Monday,22046
128,18,Saturday,19079
129,18,Sunday,14850
130,18,Thursday,24653
131,18,Tuesday,24115
132,18,Wednesday,23081
133,19,Friday,21708
134,19,Monday,17409
135,19,Saturday,17235
136,19,Sunday,12943
137,19,Thursday,19986
138,19,Tuesday,19198
139,19,Wednesday,18737
140,20,Friday,17640
141,20,Monday,12969
142,20,Saturday,15389
143,20,Sunday,10764
144,20,Thursday,15700
145,20,Tuesday,14970
146,20,Wednesday,14263
147,21,Friday,13636
148,21,Monday,9780
149,21,Saturday,12931
150,21,Sunday,8481
151,21,Thursday,11431
152,21,Tuesday,10586
153,21,Wednesday,10414
154,22,Friday,8952
155,22,Monday,6467
156,22,Saturday,10285
157,22,Sunday,6035
158,22,Thursday,7403
159,22,Tuesday,6833
160,22,Wednesday,6656
161,23,Friday,5996
162,23,Monday,4278
163,23,Saturday,7482
164,23,Sunday,4458
165,23,Thursday,4849
166,23,Tuesday,4603
167,23,Wednesday,4451
